"Coal coke plant, monthly statistics 1 2"
"Frequency: Monthly"
"Table: 25-10-0045-01 (formerly CANSIM 135-0001)"
"Release date: 2024-01-10"
"Geography: Canada"
""
""

"Geography 3","Canada 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supply and disposition","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023"
,"Metric tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supply of coal to coke plants 4","371,304","346,614","376,117","370,041","385,809","370,666","377,467","382,369","359,401","351,387","295,713","293,823","270,074","257,529","280,464","231,964","215,259","221,239","231,402","226,547","253,119","291,924","297,566","310,727","296,210","281,346","312,322","315,961","321,932","353,247","378,801","371,609","366,032","380,493","361,431","391,946","367,175","329,943","370,875","361,691","385,435","348,296","378,843","374,092","362,452","357,712","317,502","369,995","377,779","364,547","375,927","367,866","378,444","341,599","374,393","368,455","358,821","367,378","358,669","361,473","350,887","324,745","367,052","327,122","309,870","297,289","292,861","257,357","288,219","300,616","274,298","289,339","260,168","256,792","284,980","296,964","266,964","279,711","284,507","293,373","324,809","323,583","246,751","273,328","x","212,003","268,284","275,456","266,950","293,986","296,167","285,616","279,704","270,872","268,384","274,067","283,773","262,976","272,260","252,268","244,870","252,207","262,907","273,182","255,798","260,889","230,344","259,648","269,114","244,549","272,600","267,457","257,566","248,000","274,437","274,839","260,644","279,278","266,145","293,904","280,082","274,936","298,944","279,340","320,294","304,559","303,207","304,957","306,179","311,462","284,543","313,241","316,994","258,935","286,078","294,417","293,520","297,397","314,924","297,680","276,435","268,519","259,298","288,364","268,632","263,574","270,452","255,293","260,336","255,091","255,491","259,475","259,688","263,567","259,649","257,973","275,444","233,832","241,753","233,355","247,476","219,266","246,537","208,540","217,548","223,203","175,959","242,231","212,135","194,621","219,224","221,910","280,770","277,465","234,698","229,722","223,010","252,425","218,044","236,020","248,696","229,474","243,844","247,673","236,831","223,220","236,707","275,879","234,101","247,136"
"Coal, stocks opening","982,128","801,800","531,539","388,316","476,784","486,572","472,583","498,531","472,768","632,809","739,916","802,901","980,237","855,471","644,938","451,136","445,708","377,538","474,306","615,355","820,214","915,872","1,060,943","1,117,731","1,122,393","891,514","690,168","584,409","619,239","700,812","865,713","1,004,372","1,164,453","1,202,098","1,296,973","1,471,300","1,534,431","1,269,593","966,497","701,410","649,572","584,479","791,309","779,985","742,060","832,441","996,352","1,129,752","1,342,756","1,183,135","891,554","654,442","622,382","788,222","868,206","1,019,157","1,051,642","1,160,262","1,244,396","1,311,961","1,338,548","1,075,262","771,817","498,562","378,490","526,689","663,358","775,261r","836,699","867,950","905,441","986,368","1,100,446","x","661,081","402,033","314,760","406,902","458,068","622,571","679,876","663,901","725,136","830,207","978,247","883,216","702,555","481,407","500,570","683,512","763,130","850,312","902,636","857,174","912,933","973,596","1,275,440","1,080,959","817,983","541,713","x","x","519,662","622,201","649,145","709,973","808,157","926,089","1,167,186","949,229","717,719","472,489","494,704","573,051","667,148","695,364","769,642","854,213","961,898","1,120,538","1,229,107","1,012,210","726,216","514,033","601,455","715,879","815,726","913,092","946,486","1,007,301","1,185,592","1,302,935","1,349,283","1,032,289","769,013","x","706,693","806,471","868,932","920,225","977,783","1,147,225","1,262,755","1,369,479","1,335,667","1,070,082","809,246","541,028","573,010","620,911","630,806","699,007","835,233","952,417","1,134,109","1,220,440","1,387,182","1,128,006","898,092","689,371","672,414","711,175","820,389","878,120","1,037,408","1,232,425","1,358,328","1,399,918","1,441,516","1,324,857","1,130,236","911,766","889,549","890,770","930,906","993,196","1,037,632","1,112,879","1,168,945","1,225,336","1,218,041","1,025,011","795,667","637,395","690,950","784,196","864,207","1,058,872","1,104,830","1,205,580"
"Coal, received 5","190,976","76,353","222,600","411,113","362,664","329,593","398,570","354,716","514,997","458,136","356,688","436,547","134,808","53,533","59,472","223,892","147,089","259,413","368,046","431,408","331,358","436,995","328,198","322,652","60,308","80,000","195,486","333,646","403,899","483,880","518,680","509,237","411,013","475,369","526,828","455,077","106,516","26,835","105,788","307,702","320,873","426,606","367,519","338,163","407,374","521,623","450,902","551,485","216,833","58,291","138,815","335,806","499,194","423,462","503,329","390,374","467,441","451,514","448,148","397,063","87,608","21,300","95,019","169,384","403,926","429,122","404,800","318,104","308,254","338,106","348,947","411,897","x","x","24,824","181,101","330,892","x","449,009","x","x","x","x","421,982","x","31,341","x","291,845","x","x","380,036","327,960","x","336,053","334,104","575,911","89,292","x","x","x","239,118","174,172","365,446","x","316,164","359,073","359,579","500,357","66,997","13,039","27,370","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","..","..","x","460,468","x","x","365,493","x","x","384,049","x","273,445","3,047","112","0","284,099","279,038","234,760","327,837","395,700","375,716","445,259","348,191","428,945","15,382","0","25,359","215,820","287,915","289,652","296,303","358,225","412,565","361,838","217,548","289,368","95,474","0","1,186","209,486","278,247","312,093","298,733","269,296","274,146","299,431","274,435","222,752","35,230","0","75,474","291,605","325,508","300,216","431,372","322,276","332,961","345,491"
"Coal, inventory adjustments","0","0","10,294","47,396","32,933","27,084","4,845","1,890","4,445","358","2,010","34,612","10,500","-6,537","27,550","2,644","0","58,594","4,405","-2","17,419","0","688","-7,264","5,023","0","11,077","17,145","-394","34,268","-1,220","22,453","-7,335","-1","8,930","0","-4,179","12","0","2,151","-531","128,520","..","-1,996","45,459","..","..","31,514","1,325","14,675","..","..","45,090","-1,879","22,015","10,566","..","-2","-21,914","-9,003","-7","..","-1,222","37,666","54,143","4,836","-35","691r","11,216","1","6,278","-8,480","x","3,312","1,108","28,590","28,214","x","1","x","x","x","x","-614","x","1","x","2,774","x","x","3,313","9,980","x","-9,422","-5,057","x","x","x","-4,010","x","x","x","x","x","462","x","-11,303","388","-15,840","x","x","x","x","x","x","x","x","x","x","x","x","-11,058","x","x","x","x","x","x","x","x","x","x","..","-4,341","x","x","x","x","724","x","x","..","x","-18,893","0","2,626","2,234","3,176","29,199","30,226","-4,145","1","1,156","0","-2,211","-4,230","886","3,918","7,673","578","-1,678","38,828","7,965","9,603","0","-12,732","1","-5,539","2","0","-432","-9,793","3,744","5,508","-1,745","4,862","24,111","9,060","0","5,973","20,436","130","10,098","9,623","4,569","3,015","0","-439","1,890","-6,190"
"Coal, stocks closing","801,800","531,539","388,316","476,784","486,572","472,583","498,531","472,768","632,809","739,916","802,901","980,237","855,471","644,938","451,496","445,708","377,538","474,306","615,355","820,214","915,872","1,060,943","1,092,263","1,122,392","891,514","690,168","584,409","619,239","700,812","865,713","1,004,372","1,164,453","1,202,099","1,296,973","1,471,300","1,534,431","1,269,593","966,497","701,410","649,572","584,479","791,309","779,985","742,060","832,441","996,352","1,129,752","1,342,756","1,183,135","891,554","654,442","622,382","788,222","868,206","1,019,157","1,051,642","1,160,262","1,244,396","1,311,961","1,338,548","1,075,262","771,817","498,562","378,490","526,689","663,358","775,262","836,699","867,950","905,441","986,368","1,100,446","x","661,081","402,033","314,760","406,902","458,068","622,571","679,876","663,901","725,136","830,207","978,247","883,216","702,555","481,407","500,570","683,512","763,130","850,312","902,636","857,174","912,933","973,596","1,275,440","1,080,959","817,983","541,713","x","x","519,662","622,201","649,145","709,973","808,157","926,089","1,167,186","949,229","717,719","472,489","494,704","573,051","667,148","695,364","769,642","854,213","961,898","1,120,538","1,229,107","1,012,210","726,216","514,033","601,455","715,879","815,726","913,092","946,486","1,007,301","1,185,592","1,302,935","1,349,283","1,032,289","769,013","x","706,693","806,471","868,932","920,225","977,783","1,147,225","1,262,755","1,369,479","1,335,667","1,070,082","809,246","541,028","573,010","620,911","630,806","699,007","835,233","952,417","1,134,109","1,220,440","1,387,182","1,128,006","898,092","689,371","672,414","711,175","820,389","878,120","1,037,408","1,232,425","1,358,328","1,399,918","1,441,516","1,324,857","1,130,236","911,766","889,549","890,770","930,906","993,196","1,037,632","1,112,879","1,168,945","1,225,336","1,218,041","1,025,011","795,667","637,395","690,950","784,196","864,207","1,058,872","1,104,830","1,205,580","1,297,745"
"Disposition of coal by coke plants 6","371,304","346,614","376,117","370,041","385,809","370,666","377,467","382,369","359,401","351,387","295,713","269,954","270,074","257,529","280,824","231,964","215,259","221,239","231,402","226,547","253,119","291,924","297,566","310,727","296,210","281,346","312,322","315,961","321,932","353,247","378,801","371,609","366,032","380,493","361,431","391,946","367,175","329,943","370,875","361,691","385,435","348,296","378,843","374,092","362,452","357,712","317,502","369,995","377,779","364,547","375,927","367,866","378,444","341,599","374,393","368,455","358,821","367,378","358,669","361,473","350,887","324,745","367,052","327,122","309,870","297,289","292,861","257,357","288,219","300,616","274,298","289,339","260,168","256,792","284,980","296,964","266,964","279,711","284,507","293,373","324,809","323,583","246,751","273,328","x","212,003","268,284","275,456","266,950","293,986","296,167","285,616","279,704","270,872","268,384","274,067","283,773","262,976","272,260","252,268","244,870","252,207","262,907","273,182","255,798","260,889","230,344","259,648","269,114","244,549","272,600","267,457","257,566","248,000","274,437","274,839","260,644","279,278","266,145","293,904","280,082","274,936","298,944","279,340","320,294","304,559","303,207","304,957","306,179","311,462","284,543","313,241","316,994","258,935","286,078","294,417","293,520","297,397","314,924","297,680","276,435","268,519","259,298","288,364","268,632","263,574","270,452","255,293","260,336","255,091","255,491","259,475","259,688","263,567","259,649","257,973","275,444","233,832","241,753","233,355","247,476","219,266","246,537","208,540","217,548","223,203","175,959","242,231","212,135","194,621","219,224","221,910","280,770","277,465","234,698","229,722","223,010","252,425","218,044","236,020","248,696","229,474","243,844","247,673","236,831","223,220","236,707","275,879","234,101","247,136"
"Coal, charged to ovens","371,304","346,614","376,117","370,041","385,809","370,666","377,467","382,369","359,401","351,387","295,713","269,954","270,074","257,529","280,824","211,519","215,259","221,239","231,402","226,547","253,119","291,924","297,566","287,046","296,210","281,346","312,322","315,961","321,932","352,752","378,801","347,782","345,799","359,618","343,677","362,350","344,457","304,132","342,287","335,512","355,213","348,296","378,843","374,092","362,452","357,712","317,502","369,995","377,779","364,547","281,178","340,448","352,450","324,457","346,584","337,640","330,377","341,702","334,602","335,391","328,491","300,541","340,123","304,321","291,056","275,630","270,418","233,458","259,630","269,899","253,748","262,989","238,574","230,707","254,014","x","x","252,764","254,544","262,920","295,854","293,111","227,151","247,871","241,030","x","x","245,733","246,597r","269,369","268,886","257,791","259,941","254,207","238,202","245,330","252,324","232,332","238,973","225,461","238,666","233,430","235,118","242,668","230,446","237,514","226,897","236,104","238,498","214,784","238,251","x","x","223,383","239,196","238,511","238,768","253,877","245,558","265,099","254,603","244,711","x","x","x","x","x","x","x","x","x","x","x","234,332","264,800","263,195","281,430","262,855","280,034","260,196","244,030","240,485","235,578","251,453","245,400","233,877","243,017","235,643","251,404","255,091","255,491","246,388","235,314","237,829","237,577","245,236","265,625","224,933","220,433","212,907","221,685","208,976","223,293","190,013","199,338","210,384","170,359","227,087","190,602","178,755","196,156","199,868","263,053","268,317","229,221","220,262","205,994","250,872","207,559","215,956","224,776","214,056","221,570","225,620","222,236","202,128","216,758","253,458","214,881","227,918"
"Coal, sold or used for other purposes 7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20,445","0","0","0","0","0","0","0","23,681","0","0","0","0","0","495","0","23,827","20,233","20,875","17,754","29,596","22,718","25,811","28,588","26,179","30,222","..","..","..","..","..","..","..","..","..","94,749","27,418","25,994","17,142","27,809","30,815","28,444","25,676","24,067","26,082","22,396","24,204","26,929","22,801","18,814","21,659","22,443","23,899","28,589","30,717","20,550","26,350","21,594","26,085","30,966","x","x","26,947","29,963","30,453","28,955","30,472","19,600","25,457","x","x","x","29,723","20,353r","24,617","27,281","27,825","19,763","16,665","30,182","28,737","31,449","30,644","33,287","26,807","6,204","18,777","27,789","30,514","25,352","23,375","3,447","23,544","30,616","29,765","34,349","x","x","24,617","35,241","36,328","21,876","25,401","20,587","28,805","25,479","30,225","x","x","x","x","x","x","x","x","x","x","x","24,603","21,278","31,222","12,090","34,542","34,890","37,484","32,405","28,034","23,720","36,911","23,232","29,697","27,435","19,650","8,932","0","0","13,087","24,374","25,738","22,072","12,737","9,819","8,899","21,320","20,448","25,791","10,290","23,244","18,527","18,210","12,819","5,600","15,144","21,533","15,866","23,068","22,042","17,717","9,148","5,477","9,460","17,016","1,553","10,485","20,064","23,920","15,418","22,274","22,053","14,595","21,092","19,949","22,421","19,220","19,218"
"Supply of coal coke 8","289,643","259,035","285,827","288,422","316,481","294,504","301,865","318,467","311,490","242,010","118,630","150,538","186,438","194,244","163,315","152,873","113,922","186,788","189,318","223,884","253,746","207,184","214,882","215,081","214,938","199,839","211,531","122,997","187,959","208,852","307,661","275,436","220,334","245,993","192,810","237,569","207,284","176,603","275,696","294,941","296,770","318,464","305,622","255,517","285,960","243,746","215,014","270,851","236,433","222,730","254,661","303,410","295,648","258,354","318,327","270,426","292,536","282,925","286,981","251,140","239,291","228,157","246,110","162,243","160,163","160,047","209,932r","174,676r","159,386r","296,118r","301,742r","304,074","x","x","292,035","277,716","305,915","287,939","312,805","313,912","286,112","279,276","243,797","306,865","243,176","180,793","208,910","212,121","232,517","259,368","243,265","254,610","234,871","198,574","189,002","206,286","260,558","259,718","284,819","237,160","243,786","247,911","253,366","232,868","188,686","214,166","235,062","244,586","253,065","219,882","259,721","248,412","246,762","243,599","240,246","263,996","227,975","263,936","225,728","241,365","253,064","243,680","263,574","302,015","282,985","247,565","246,203","279,379","236,895","258,387","264,591","269,676","294,917","233,609","276,236","250,897","243,461","242,586","x","296,903","289,304","x","x","316,347","255,449","251,975","262,004","226,634","227,962","220,738","187,756","173,704","171,382","178,933","206,548","342,792","271,864","259,224","303,780","280,443","290,962","252,492","284,512","271,439","261,781","277,589","253,270","281,994","245,781","241,238","266,301","266,962","324,641","228,844","255,336","232,544","219,552","228,551","183,521","219,536","230,159","221,292","259,164","260,015","240,670","255,753","273,499","257,236","255,935","203,101"
