"Supply and disposition of natural gas, monthly (data in thousands) (x 1,000) c 1 2"
"Frequency: Monthly"
"Table: 25-10-0055-01 (formerly CANSIM 131-0004)"
"Release date: 2024-01-10"
"Geography: Canada, Province or territory"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unit of measure","Cubic metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Supply and disposition","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023"
"Gross withdrawals","17,474,028.2","16,168,212.8","16,879,420.3","15,634,785.2","15,599,602.2","14,711,492.2","15,500,063.4","15,456,957.4","15,247,170.6","15,860,680.6","15,829,899.5","17,682,496.4","17,248,195.1","15,385,845.5","17,165,011.8","16,009,959.6","16,261,275.6","15,415,719.4","16,365,533.1","16,030,197.6","15,835,798.2","16,693,411.2","17,243,787.6","17,962,703.6","18,093,571.6","16,376,488.5","18,162,467.0","17,113,326.7","16,981,550.9","16,281,568.2","17,283,554.3","17,294,761.2","16,423,814.2","17,065,345.1","16,726,318.4","18,128,470.8","17,654,878.3","15,583,799.3","17,610,223.3","16,754,183.3","16,499,016.7","15,994,348.8","16,563,137.6","16,457,384.7","15,806,051.1","16,754,715.2","17,163,459.2","17,975,579.5","17,298,017.5","16,472,981.8","17,466,475.5","16,445,108.6","16,563,320.1","15,873,886.5","15,915,284.4","15,998,611.0","15,136,392.8","16,526,510.2","16,533,535.6","17,258,449.6","17,409,062.0","15,407,972.4","17,536,351.9","16,698,927.3","16,977,638.9","16,369,284.4","17,153,347.5","17,438,416.6","16,748,811.9","17,391,390.9","17,639,070.0","18,111,900.4","18,136,418.3","16,690,108.1","18,598,240.5","18,133,072.0","18,188,229.7","17,386,006.8","18,500,563.8","18,294,436.2","17,552,218.0","18,574,155.5","18,543,254.3","19,144,325.6","19,304,814.7","17,489,700.3","19,414,651.0","18,593,022.1","17,391,016.0","16,958,989.9","18,679,080.7","18,920,804.9","17,898,675.1","19,094,108.4"
"Marketable production 3","14,284,612.4","13,603,836.4","14,418,029.3","13,101,617.9","14,137,172.2","13,475,167.3","13,923,620.7","14,243,927.0","13,541,875.1","13,872,833.6","13,809,829.7","14,708,026.3","15,044,130.4","13,541,492.1","15,122,701.7","14,241,893.6","14,420,961.5","13,542,113.6","14,283,181.6","14,138,683.2","13,976,778.7","14,667,567.7","15,009,876.1","15,482,803.5","15,695,290.5","13,995,594.8","15,638,124.4","14,929,809.0","14,694,411.2","14,130,132.4","14,854,208.8","14,814,375.6","14,233,046.4","14,712,349.3","14,430,605.5","15,666,516.7","15,070,655.4","13,249,828.6","15,170,647.4","14,377,404.3","14,186,399.5","13,423,002.2","14,078,045.3","13,980,342.8","13,460,603.6","14,210,381.7","14,476,923.7","15,063,237.5","14,477,517.7","13,832,126.1","14,661,557.5","13,886,837.9","14,070,191.0","13,385,940.9","13,576,974.4","13,535,882.9","13,082,223.1","14,013,057.1","13,953,032.6","14,460,751.8","14,451,938.5","12,953,670.6","14,659,662.3","14,104,888.5","14,211,649.6","13,679,816.0","14,671,463.5","14,989,670.9","14,412,279.7","14,877,354.9","15,048,371.9","15,361,920.2","15,421,804.1","14,134,908.3","15,694,393.0","15,502,194.3","15,606,983.7","14,881,779.0","15,782,693.3","15,718,185.1","15,229,948.9","16,077,083.3","15,832,737.9","16,238,657.7","16,591,535.9","14,917,494.1","16,656,536.6","16,029,416.8","14,950,114.3","14,833,997.3","16,170,081.9","16,173,058.7","15,361,140.2","16,295,967.0"
"Imports 4","2,070,935.6","1,884,700.1","2,134,173.0","1,741,725.0","1,815,651.0","1,547,431.6","1,498,371.8","1,538,781.3","1,742,950.0","1,067,649.6","2,062,252.1","2,781,248.1","2,886,859.5","2,661,291.6","2,844,827.2","2,489,518.2","2,203,050.0","1,929,168.0","1,772,822.0","1,985,766.0","2,094,415.9","1,823,000.0","2,655,937.9","2,951,386.0","2,855,196.6","2,627,697.1","2,558,866.0","2,430,407.5","1,794,164.9","2,056,884.0","2,401,118.2","2,545,066.0","2,506,386.4","2,133,990.0","3,055,797.0","3,382,326.0","2,874,998.0","2,903,130.5","2,989,369.5","2,398,392.0","2,389,584.0","2,141,002.0","2,263,255.0","2,751,295.7","2,484,042.3","2,072,148.8","2,909,252.6","3,567,810.0","3,254,019.1","2,423,683.0","2,790,006.0","2,310,375.3","2,118,519.0","2,112,852.0","2,399,061.5","1,772,665.0","1,994,183.5","2,203,355.1","2,546,211.0","2,894,064.0","3,056,143.6","2,442,791.6","3,147,284.7","2,350,319.3","2,264,146.7","2,306,821.9","2,226,420.3","2,351,453.7","2,300,903.6","1,893,628.2","2,967,892.2","3,577,000.5","2,674,962.9","2,389,195.2","3,424,448.0","2,529,051.6","2,704,967.9","2,218,562.9","2,275,674.0","2,368,035.0","1,972,010.0","2,294,498.7","2,715,059.7","2,779,152.7","2,853,339.0","2,701,190.0","3,029,985.5","2,068,319.4","2,192,741.5","1,925,160.1","1,948,321.5","1,444,241.3","2,024,400.6","1,450,117.0"
"Residential consumption","2,575,254.0","2,312,772.0","2,005,977.0","1,536,291.0","874,168.0","468,781.0","404,694.0","362,677.0","430,201.0","797,535.0","1,358,314.0","2,233,217.0","2,798,643.0","2,407,169.0","2,267,930.0","1,606,651.0","1,032,002.0","556,403.0","392,282.0","368,134.0","459,684.0","747,580.0","1,468,094.0","2,393,072.0","2,737,694.0","2,531,463.0","2,208,602.0","1,759,816.0","712,131.0","479,095.0","391,540.0","377,317.0","620,224.0","1,242,180.0","1,904,079.0","2,262,510.0","2,794,925.0","2,879,066.0","2,337,588.0","1,403,332.0","967,789.0","555,065.0","374,803.0","378,078.0","536,396.0","1,187,077.0","1,972,146.0","2,339,721.0","2,695,570.0","2,501,534.0","2,087,506.0","1,675,601.0","941,502.0","558,559.0","425,978.0","364,413.0","519,250.0","1,088,702.0","1,679,880.0","2,300,606.0","2,629,618.0","2,740,257.0","2,032,835.0","1,414,628.0","900,635.0","521,397.0","407,491.0","388,450.0","462,702.0","840,965.0","1,579,279.0","2,459,107.0","3,248,571.0","2,456,567.0","2,139,608.0","1,560,424.0","829,836.0","510,884.0","417,046.0","368,258.0","429,227.0","855,143.0","1,723,713.0","2,570,435.0","2,542,503.0","2,431,646.0","2,233,871.0","1,463,783.0","691,050.0","424,348.0","397,334.0","367,114.0","442,539.0","863,722.0"
"Industrial consumption 5","6,252,580.4","5,651,283.4","5,879,159.3","5,309,431.9","4,941,596.2","6,358,653.3","6,837,745.7","6,843,633.0","5,286,189.1","5,657,415.6","5,812,108.7","6,444,873.3","6,436,389.4","5,828,243.1","6,370,987.7","5,726,266.6","5,479,095.5","6,099,697.6","7,207,660.6","7,340,035.2","6,094,769.7","6,136,933.7","6,661,472.1","7,210,819.0","7,444,505.5","6,678,657.8","7,019,462.0","6,421,371.0","6,559,668.2","6,335,568.4","6,494,650.8","6,562,851.6","6,449,486.4","6,829,183.3","7,039,721.5","7,229,288.7","7,320,369.4","6,939,191.6","7,073,201.4","6,325,074.3","6,233,171.5","6,377,605.2","6,497,613.3","6,586,611.8","6,172,090.6","6,388,290.7","6,710,121.7","7,059,607.5","7,340,505.7","6,890,702.1","7,056,010.5","6,192,173.9","5,996,680.0","5,953,680.9","6,306,848.4","5,925,713.9","5,925,468.1","6,623,121.1","6,683,820.6","7,362,473.8","7,461,257.5","7,061,913.6","7,161,214.3","6,291,307.5","6,391,201.6","6,541,477.0","7,032,403.5","7,287,487.9","6,398,730.7","7,065,634.9","7,267,550.9","8,037,459.2","8,348,757.1","7,381,998.3","7,845,925.0","6,843,509.3","6,881,824.7","6,364,452.0","6,855,807.3","7,452,484.1","7,135,742.9","7,532,381.3","7,666,543.9","8,534,409.7","8,238,397.9","7,297,497.1","7,970,495.6","7,069,579.8","7,148,757.3","7,181,860.3","7,904,685.9","8,037,057.7","7,300,442.2","7,794,123.0"
"Commercial consumption","2,180,757.0","2,114,688.0","1,954,498.0","1,515,903.0","973,859.0","525,334.0","463,339.0","466,192.0","515,302.0","891,401.0","1,349,684.0","1,973,907.0","2,453,843.0","2,250,233.0","2,178,451.0","1,562,292.0","990,803.0","567,971.0","485,390.0","467,955.0","527,958.0","814,674.0","1,444,171.0","2,144,117.0","2,553,593.0","2,349,728.0","2,044,414.0","1,682,386.0","727,969.0","512,598.0","412,306.0","417,857.0","646,237.0","1,202,425.0","1,866,097.0","2,151,430.0","2,668,020.0","2,645,934.0","2,211,564.0","1,357,843.0","1,018,635.0","582,203.0","420,998.0","403,813.0","561,517.0","1,129,368.0","1,851,871.0","2,187,508.0","2,466,316.0","2,328,765.0","2,004,400.0","1,512,671.0","864,645.0","510,819.0","416,396.0","394,099.0","512,128.0","1,078,524.0","1,544,632.0","2,076,888.0","2,148,221.0","2,259,218.0","1,720,287.0","1,326,344.0","848,201.0","525,329.0","367,874.0","409,561.0","517,929.0","837,199.0","1,435,009.0","2,106,432.0","2,792,524.0","2,273,478.0","1,877,400.0","1,438,042.0","815,416.0","498,122.0","402,957.0","367,700.0","429,741.0","836,948.0","1,543,752.0","2,191,424.0","2,111,534.0","2,428,408.0","2,229,882.0","1,372,849.0","736,849.0","416,415.0","362,003.0","369,705.0","426,041.0","859,932.0"
"Exports 6","7,309,705.0","6,676,732.0","6,486,642.0","6,620,120.0","6,755,489.0","6,639,608.0","7,154,782.0","7,048,598.0","6,563,658.0","6,236,167.0","6,265,854.0","7,683,032.0","7,836,756.0","6,947,415.0","7,805,841.0","6,860,134.0","6,976,004.0","6,620,464.0","6,938,091.0","6,827,816.0","6,599,951.0","6,825,929.0","6,600,332.0","7,371,737.0","7,820,170.0","6,445,586.0","7,402,352.0","6,817,350.0","6,381,403.0","6,293,816.0","6,846,132.0","6,634,843.0","6,068,677.0","5,724,454.0","5,846,878.0","6,816,722.0","7,503,582.0","6,136,916.0","6,895,276.0","5,806,485.0","5,944,179.0","5,682,763.0","6,259,486.0","6,075,181.0","5,749,528.0","5,565,464.0","6,164,622.0","6,773,075.0","6,574,143.0","6,309,577.0","5,957,491.0","5,066,965.0","5,109,765.0","5,080,008.0","5,686,749.0","5,627,466.0","5,031,808.0","5,428,019.0","5,843,482.0","7,409,001.0","7,647,825.0","7,024,473.0","6,628,267.0","5,801,252.0","5,650,447.0","5,809,884.0","6,199,272.0","6,358,613.0","6,066,352.0","6,236,729.0","6,780,947.0","7,096,711.0","7,855,429.0","7,042,249.0","7,298,504.0","6,866,440.0","6,513,222.0","6,394,782.0","6,813,736.0","6,604,995.0","6,447,302.0","6,581,644.0","6,824,338.0","8,078,154.0","7,224,375.0","6,857,918.0","7,111,030.0","6,110,457.0","5,984,188.0","6,305,083.0","7,037,881.0","6,499,823.0","6,335,009.0","6,245,470.0"
"Opening inventory","25,095,629.6","22,220,401.0","20,472,651.7","21,006,678.2","21,036,483.6","22,392,448.3","23,743,852.1","24,585,440.2","26,122,335.6","27,420,813.4","27,234,245.6","26,993,148.4","24,209,406.9","21,097,550.6","19,187,745.8","17,184,633.3","18,087,555.7","19,456,518.0","21,383,001.8","23,206,229.6","24,877,850.1","26,672,941.6","27,065,036.1","26,179,369.7","22,619,626.9","19,791,546.2","17,103,697.6","14,969,372.9","15,063,964.7","16,149,711.2","18,114,945.0","19,941,934.4","22,026,300.4","23,775,145.0","24,280,792.2","23,812,457.2","22,621,868.4","18,951,127.6","15,072,795.0","13,330,663.8","13,937,301.9","15,552,532.8","17,514,295.4","19,096,810.7","21,076,878.2","22,879,076.6","23,732,823.7","22,581,566.7","21,134,352.4","18,176,488.3","15,462,031.3","14,638,633.5","15,560,531.2","18,275,192.0","21,075,477.6","23,450,179.6","25,409,562.2","27,576,234.1","28,197,773.9","27,461,738.6","24,351,143.9","20,231,473.8","15,673,493.5","14,267,237.3","15,000,172.7","16,761,369.5","18,610,093.2","20,249,847.8","22,109,887.6","24,543,153.9","24,972,324.4","24,025,831.3","21,540,824.6","16,295,613.7","12,334,472.0","11,004,692.3","11,019,273.0","13,467,109.6","15,840,397.5","18,324,292.7","21,065,851.9","23,140,887.5","24,366,000.1","23,603,630.1","19,870,684.5","17,529,739.2","15,576,625.2","14,785,715.4","16,356,351.1","18,697,950.0","20,752,137.3","22,743,413.7","24,954,919.0","27,415,148.1"
"Closing inventory","22,220,401.0","20,472,651.7","21,006,678.2","21,036,483.6","22,392,448.3","23,743,852.1","24,585,440.2","26,122,335.6","27,420,813.4","27,234,245.6","26,993,148.4","24,209,406.9","21,097,550.6","19,187,745.8","17,184,633.3","18,087,555.7","19,456,518.0","21,383,001.8","23,206,229.6","24,877,850.1","26,672,941.6","27,065,036.1","26,179,369.7","22,619,626.9","19,791,546.2","17,103,697.6","14,969,372.9","15,063,964.7","16,149,711.2","18,114,945.0","19,941,934.4","22,026,300.4","23,775,145.0","24,280,792.2","23,812,457.2","22,621,868.4","18,951,127.6","15,072,795.0","13,330,663.8","13,937,301.9","15,552,532.8","17,514,295.4","19,096,810.7","21,076,878.2","22,879,076.6","23,732,823.7","22,581,566.7","21,134,352.4","18,176,488.3","15,462,031.3","14,638,633.5","15,560,531.2","18,275,192.0","21,075,477.6","23,450,179.6","25,409,562.2","27,576,234.1","28,197,773.9","27,461,738.6","24,351,143.9","20,231,473.8","15,673,493.5","14,267,237.3","15,000,172.7","16,761,369.5","18,610,093.2","20,249,847.8","22,109,887.6","24,543,153.9","24,972,324.4","24,025,831.3","21,540,824.6","16,295,613.7","12,334,472.0","11,004,692.3","11,019,273.0","13,467,109.6","15,840,397.5","18,324,292.7","21,065,851.9","23,140,887.5","24,366,000.1","23,603,630.1","19,870,684.5","17,529,739.2","15,576,625.2","14,785,715.4","16,356,351.1","18,697,950.0","20,752,137.3","22,743,413.7","24,954,919.0","27,415,148.1","28,616,786.7"
"Inventory change","-2,875,228.7","-1,747,749.3","534,026.5","29,805.4","1,355,964.7","1,351,403.8","841,588.1","1,536,895.4","1,298,477.7","-186,567.7","-241,097.2","-2,783,741.5","-3,111,856.3","-1,909,804.8","-2,003,112.5","902,922.4","1,368,962.4","1,926,483.7","1,823,227.8","1,671,620.6","1,795,091.5","392,094.5","-885,666.4","-3,559,742.8","-2,828,080.7","-2,687,848.6","-2,134,324.7","94,591.8","1,085,746.5","1,965,233.8","1,826,989.4","2,084,366.0","1,748,844.6","505,647.2","-468,335.0","-1,190,588.8","-3,670,740.8","-3,878,332.6","-1,742,131.2","606,638.1","1,615,230.9","1,961,762.6","1,582,515.3","1,980,067.5","1,802,198.4","853,747.1","-1,151,257.1","-1,447,214.3","-2,957,864.1","-2,714,457.0","-823,397.8","921,897.7","2,714,660.8","2,800,285.7","2,374,702.0","1,959,382.6","2,166,671.9","621,539.8","-736,035.3","-3,110,594.7","-4,119,670.1","-4,557,980.3","-1,406,256.3","732,935.4","1,761,196.8","1,848,723.7","1,639,754.6","1,860,039.7","2,433,266.3","429,170.5","-946,493.1","-2,485,006.6","-5,245,211.0","-3,961,141.6","-1,329,779.7","14,580.7","2,447,836.6","2,373,287.9","2,483,895.2","2,741,559.2","2,075,035.6","1,225,112.6","-762,370.0","-3,732,945.7","-2,340,945.2","-1,953,114.0","-790,909.8","1,570,635.7","2,341,598.9","2,054,187.3","1,991,276.3","2,211,505.4","2,460,229.1","1,201,638.6"
