"REF_DATE","GEO","DGUID","Supply and disposition","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008-03","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","388316","","","","0"
"2008-03","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","376117","","","","0"
"2008-03","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","376117","","","","0"
"2008-03","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-03","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","285827","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","305838","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","258408","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","19777","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","8189","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","290007","","","","0"
"2008-03","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","285827","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","277693","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","194","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","7940","","","","0"
"2008-03","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-04","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","370041","","","","0"
"2008-04","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","388316","","","","0"
"2008-04","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","411113","","","","0"
"2008-04","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","47396","","","","0"
"2008-04","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","476784","","","","0"
"2008-04","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","370041","","","","0"
"2008-04","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","370041","","","","0"
"2008-04","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-04","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","288422","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","290007","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","251980","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","30240","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","8919","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","274886","","","","0"
"2008-04","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","288422","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","281625","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","133","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","6664","","","","0"
"2008-04","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-05","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","385809","","","","0"
"2008-05","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","476784","","","","0"
"2008-05","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","362664","","","","0"
"2008-05","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","32933","","","","0"
"2008-05","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","486572","","","","0"
"2008-05","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","385809","","","","0"
"2008-05","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","385809","","","","0"
"2008-05","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-05","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","316481","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","274886","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","260965","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","60216","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","4492","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","275094","","","","0"
"2008-05","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","316481","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","291698","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","154","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","24629","","","","0"
"2008-05","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-06","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","370666","","","","0"
"2008-06","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","486572","","","","0"
"2008-06","Canada","2016A000011124","Coal, received","Metric tonnes","214","units ","0","v43973924","1.3","329593","","","","0"
"2008-06","Canada","2016A000011124","Coal, inventory adjustments","Metric tonnes","214","units ","0","v43973925","1.4","27084","","","","0"
"2008-06","Canada","2016A000011124","Coal, stocks closing","Metric tonnes","214","units ","0","v43973926","1.5","472583","","","","0"
"2008-06","Canada","2016A000011124","Disposition of coal by coke plants","Metric tonnes","214","units ","0","v43973927","1.6","370666","","","","0"
"2008-06","Canada","2016A000011124","Coal, charged to ovens","Metric tonnes","214","units ","0","v43973928","1.7","370666","","","","0"
"2008-06","Canada","2016A000011124","Coal, sold or used for other purposes","Metric tonnes","214","units ","0","v43973929","1.8","0","","","","0"
"2008-06","Canada","2016A000011124","Supply of coal coke","Metric tonnes","214","units ","0","v43973930","1.9","294504","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, stocks opening","Metric tonnes","214","units ","0","v43973912","1.10","275094","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, production","Metric tonnes","214","units ","0","v43973913","1.11","254734","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, received","Metric tonnes","214","units ","0","v43973914","1.12","107597","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, adjustments","Metric tonnes","214","units ","0","v43973915","1.13","-2538","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, stocks closing","Metric tonnes","214","units ","0","v43973916","1.14","345459","","","","0"
"2008-06","Canada","2016A000011124","Disposition of coal coke","Metric tonnes","214","units ","0","v43973917","1.15","294504","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, used in blast furnaces","Metric tonnes","214","units ","0","v43973918","1.16","289437","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, used in associated works","Metric tonnes","214","units ","0","v43973919","1.17","0","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, sold for industrial use","Metric tonnes","214","units ","0","v43973920","1.18","5067","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, sold for export","Metric tonnes","214","units ","0","v43973921","1.19","0","","","","0"
"2008-06","Canada","2016A000011124","Coal coke, all other sales and/or uses","Metric tonnes","214","units ","0","v43973923","1.20","0","","","","0"
"2008-07","Canada","2016A000011124","Supply of coal to coke plants","Metric tonnes","214","units ","0","v43973911","1.1","377467","","","","0"
"2008-07","Canada","2016A000011124","Coal, stocks opening","Metric tonnes","214","units ","0","v43973922","1.2","472583","","","","0"
