"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","KEN","Kenon","25.360","+1.020","4.19%","14052","358170","1366762313.68","25.360","0.000","25.510","0","100","25.330","24.340","25.800","25.160","1.13","-100.00%","2.63","4.372","0.08","0.79","0.48%","0.00%","12.16%","14.23%","14.49%","5.01%","-10.13%","4.19%","Utilities - Independent Power Producers"
"2","TAC","TransAlta","8.270","-0.040","-0.48%","409867","3392293","2562873000","8.270","4.970","8.350","100","200","8.260","8.310","8.395","8.190","1.48","-33.33%","2.47","1181.428","0.14","-0.12","0.24%","-0.24%","2.99%","0.49%","-3.80%","-15.77%","-5.36%","-0.48%","Utilities - Independent Power Producers"
"3","NRG","NRG Energy","51.250","-0.450","-0.87%","4995787","255951520","11570427345","51.250","50.980","51.630","100","100","51.500","51.700","51.890","50.940","2.51","0.00%","1.84","9.912","2.24","0.02","0.58%","2.50%","5.11%","5.95%","33.66%","37.83%","67.31%","-0.87%","Utilities - Independent Power Producers"
"4","VST","Vistra Energy","38.070","-0.450","-1.17%","2722311","103768465","13612017469.59","38.070","37.730","38.340","100","100","38.290","38.520","38.600","37.810","1.45","0.00%","2.05","-11.677","0.78","0.16","0.33%","0.13%","1.61%","5.53%","20.28%","43.96%","75.79%","-1.17%","Utilities - Independent Power Producers"
"5","PAM","Pampa Energia","48.220","-1.300","-2.63%","183187","8926448","2629918800","48.220","47.830","48.430","100","100","49.420","49.520","49.540","47.910","1.05","0.00%","3.29","5.844","1.63","-0.08","-0.17%","-4.25%","-1.19%","5.63%","30.54%","11.65%","54.90%","-2.63%","Utilities - Independent Power Producers"
