"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","HP","Helmerich & Payne","36.400","+0.180","0.50%","801784","29294530","3619138432","36.400","36.400","36.840","300","100","36.280","36.220","37.030","36.160","0.82","50.00%","2.40","8.750","0.84","-0.05","0.04%","-0.57%","-2.12%","-0.38%","-3.67%","-0.86%","-17.61%","0.50%","Oil & Gas Drilling"
"2","PTEN","Patterson-UTI Energy","10.830","+0.030","0.28%","4944326","53849632","4519179904.29","10.830","10.860","11.110","100","400","10.890","10.800","11.139","10.755","0.97","-60.00%","3.56","15.471","1.32","0.05","0.05%","-0.73%","-2.17%","-7.99%","-10.70%","-21.07%","-29.21%","0.28%","Oil & Gas Drilling"
"3","NE","Noble","48.230","+0.070","0.14%","938948","45633717","6803037989.02","48.230","46.960","0.000","100","0","48.610","48.160","49.520","47.870","0.75","100.00%","3.43","27.878","0.67","0.09","0.27%","1.77%","9.84%","3.28%","0.76%","1.02%","35.52%","0.14%","Oil & Gas Drilling"
"4","BORR","Borr Drilling","7.320","+0.010","0.14%","1046729","7693333","1855153781.88","7.320","7.250","7.320","100","100","7.330","7.310","7.445","7.285","0.96","0.00%","2.19","-4.463","0.58","0.41","0.41%","1.24%","5.14%","17.36%","7.44%","-7.76%","51.03%","0.14%","Oil & Gas Drilling"
"5","SDRL","Seadrill","47.150","-0.130","-0.27%","556272","26304904","3480902783.9","47.150","46.010","48.290","100","100","47.000","47.280","47.768","46.910","0.61","0.00%","1.82","-4.016","0.89","0.04","0.13%","1.05%","6.89%","6.39%","12.08%","6.77%","55.92%","-0.27%","Oil & Gas Drilling"
"6","NBR","Nabors Industries","80.860","-0.770","-0.94%","172240","14159095","765348471.16","80.860","75.000","83.610","100","100","82.460","81.630","84.000","80.510","1.13","0.00%","4.28","-1.995","1.93","0.05","0.12%","-3.77%","-5.22%","-7.39%","-22.89%","-25.58%","-43.04%","-0.94%","Oil & Gas Drilling"
"7","DO","Diamond Offshore Drilling","12.870","-0.130","-1.00%","1076644","14000226","1316884165.74","12.870","12.240","14.400","400","1200","13.080","13.000","13.400","12.785","1.13","-50.00%","4.73","-12.495","1.13","0.10","0.12%","-2.13%","2.06%","-2.50%","-4.38%","-17.66%","34.34%","-1.00%","Oil & Gas Drilling"
"8","RIG","Transocean","6.250","-0.100","-1.57%","10356281","65371095","5056442787.5","6.250","6.220","6.330","5000","1000","6.380","6.350","6.470","6.190","0.86","66.67%","4.41","-7.022","1.54","0.08","0.16%","-1.73%","2.29%","-4.72%","-17.98%","-22.07%","44.68%","-1.57%","Oil & Gas Drilling"
"9","PDS","Precision Drilling","52.400","-1.890","-3.48%","57270","3057884","762710610.4","52.400","0.000","63.590","0","100","54.820","54.290","54.820","52.170","0.71","-100.00%","4.88","-28.172","0.40","-0.11","0.10%","-2.94%","-2.60%","-9.30%","-10.15%","0.17%","-25.48%","-3.48%","Oil & Gas Drilling"
