"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"20","CRK","Comstock Resources","8.940","+0.090","1.02%","4053176","36731191","2489159399.22","8.940","8.840","9.200","100","200","8.990","8.850","9.260","8.860","1.26","-33.33%","4.52","2.175","3.00","0.11","0.34%","-2.08%","0.22%","-11.49%","-16.57%","-22.86%","-25.18%","1.02%","Oil & Gas E&P"
"21","AMPY","Amplify Energy","5.990","+0.060","1.01%","898998","5445883","234189233","5.990","5.980","6.990","600","90500","6.000","5.930","6.200","5.970","2.31","-98.68%","3.88","4.159","2.34","0.00","0.08%","-0.99%","3.10%","-3.07%","-11.78%","-12.68%","-24.65%","1.01%","Oil & Gas E&P"
"22","EPSN","Epsilon Energy","5.130","+0.050","0.98%","44016","225367","113683052.07","5.130","5.130","5.300","1000","100","5.060","5.080","5.180","5.060","0.41","81.82%","2.36","3.397","0.26","-0.23","-0.23%","1.79%","4.06%","-2.91%","0.28%","-10.31%","-15.99%","0.98%","Oil & Gas E&P"
"23","MGY","Magnolia Oil & Gas","21.490","+0.200","0.94%","2019420","43591250","3980451467.72","21.490","19.100","24.000","100","100","21.420","21.290","21.890","21.320","1.29","0.00%","2.68","4.562","1.10","0.00","0.37%","-1.20%","-0.09%","-1.87%","0.26%","0.71%","-1.02%","0.94%","Oil & Gas E&P"
"24","MTDR","Matador Resources","57.380","+0.520","0.91%","922456","53253993","6835961480.08","57.380","56.250","58.640","100","100","57.520","56.860","58.700","57.080","0.84","0.00%","2.85","5.675","0.84","0.16","0.20%","-0.40%","2.10%","-1.27%","7.38%","7.22%","9.28%","0.91%","Oil & Gas E&P"
"25","KRP","Kimbell Royalty","15.170","+0.120","0.80%","360008","5455178","1120326617.86","15.170","14.830","15.480","200","100","15.130","15.050","15.265","15.050","1.06","33.33%","1.43","8.819","0.55","0.07","0.13%","-0.52%","-0.65%","-2.51%","2.46%","6.47%","7.08%","0.80%","Oil & Gas E&P"
"26","AMR","Alpha Metallurgical","341.240","+2.320","0.68%","126008","42673999","4532893616.56","341.240","340.050","342.190","100","100","335.000","338.920","343.770","333.550","0.81","0.00%","3.02","4.292","1.08","-0.18","0.44%","0.40%","8.02%","16.27%","40.70%","117.49%","150.99%","0.68%","Oil & Gas E&P"
"27","EQT","EQT Corp","38.920","+0.260","0.67%","4707210","183321714","16009041440","38.920","37.000","39.000","100","500","39.110","38.660","39.320","38.583","1.54","-66.67%","1.91","8.885","1.17","0.08","0.24%","-0.18%","1.25%","-3.28%","-4.93%","-1.45%","24.37%","0.67%","Oil & Gas E&P"
"28","GPOR","Gulfport Energy","134.090","+0.890","0.67%","115380","15441771","2445167622.48","134.090","130.000","135.420","400","100","134.170","133.200","136.320","132.810","0.94","60.00%","2.64","6.598","0.93","-0.07","-0.03%","-0.89%","3.23%","-2.79%","14.62%","26.80%","89.77%","0.67%","Oil & Gas E&P"
"29","CTRA","Coterra Energy","25.690","+0.170","0.67%","5233367","134683211","19323804516.1","25.690","25.600","25.950","100","100","25.710","25.520","25.950","25.565","1.47","0.00%","1.51","5.057","0.71","0.14","0.18%","-0.35%","2.23%","-1.72%","-0.88%","-1.55%","14.13%","0.67%","Oil & Gas E&P"
"30","APA","Apache","36.110","+0.230","0.64%","2838703","102854323","11075638292.31","36.110","36.120","36.680","1300","2000","36.140","35.880","36.640","35.910","0.87","-21.21%","2.03","3.276","0.93","0.01","0.15%","0.42%","2.15%","-0.25%","-3.74%","-2.53%","-15.17%","0.64%","Oil & Gas E&P"
"31","SM","SM Energy","38.950","+0.230","0.59%","912047","35767606","4530425898.65","38.950","34.000","40.300","100","100","39.280","38.720","39.900","38.680","0.98","0.00%","3.15","4.347","0.80","0.08","0.23%","0.88%","2.82%","2.74%","7.38%","17.57%","23.95%","0.59%","Oil & Gas E&P"
"32","OXY","Occidental Petroleum","60.050","+0.340","0.57%","7456179","450131844","52866268761.85","60.050","60.000","60.300","200","100","60.180","59.710","60.940","59.895","0.99","33.33%","1.75","4.842","0.85","-0.11","-0.01%","-1.25%","2.54%","2.40%","1.38%","-1.49%","-0.46%","0.57%","Oil & Gas E&P"
