"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"27","GNE","Genie Energy","28.420","+0.290","1.03%","215657","6059950","779219304.22","28.420","27.500","29.310","200","100","28.150","28.130","28.455","27.520","1.11","33.33%","3.32","8.717","1.01","0.11","0.28%","-3.66%","3.57%","20.22%","81.58%","115.58%","191.40%","1.03%","Utilities - Regulated Electric"
"28","IDA","Idacorp","99.190","+0.870","0.88%","312897","31007649","5020525358.03","99.190","98.730","99.580","100","100","97.940","98.320","99.645","97.940","1.52","0.00%","1.73","19.410","0.62","0.01","0.01%","1.71%","1.90%","0.72%","6.01%","-3.22%","-5.47%","0.88%","Utilities - Regulated Electric"
"29","DUK","Duke Energy","97.810","+0.770","0.79%","3352256","327759510","75383314115.68","97.810","96.050","98.250","100","100","96.520","97.040","98.280","96.130","1.60","0.00%","2.22","30.854","0.44","-0.01","0.09%","0.98%","1.22%","5.58%","15.75%","8.34%","-1.52%","0.79%","Utilities - Regulated Electric"
"30","MGEE","MGE Energy","72.780","+0.470","0.65%","168815","12247622","2631970068.6","72.780","29.090","75.360","400","200","71.810","72.310","73.115","71.810","0.38","33.33%","1.80","23.706","0.47","-0.05","0.10%","1.83%","-0.89%","-1.91%","3.60%","-4.91%","5.37%","0.65%","Utilities - Regulated Electric"
"31","PEG","Public Service Enterprise Group","61.540","+0.390","0.64%","2341451","144000327","30666262145.08","61.540","61.290","61.870","100","100","60.860","61.150","61.805","60.730","1.43","0.00%","1.76","29.873","0.47","-0.04","0.13%","1.47%","0.00%","-2.08%","9.80%","-1.58%","2.98%","0.64%","Utilities - Regulated Electric"
"32","PCG","PG&E Corp","18.050","+0.020","0.11%","14115636","254732921","38509822667.05","18.050","17.800","19.040","200","200","17.880","18.030","18.140","17.830","1.37","0.00%","1.72","21.488","0.68","0.11","0.03%","2.50%","1.69%","3.50%","17.73%","-0.66%","15.18%","0.11%","Utilities - Regulated Electric"
"33","FTS","Fortis","41.040","-0.090","-0.22%","762856","31329428","20048040000","41.040","40.810","41.240","100","100","40.710","41.130","41.260","40.670","1.35","0.00%","1.43","19.740","0.16","-0.01","0.02%","0.81%","0.07%","0.98%","6.69%","-1.87%","5.51%","-0.22%","Utilities - Regulated Electric"
"34","NGG","National Grid","67.820","-0.170","-0.25%","454282","30773681","50026851752.14","67.820","67.420","68.090","100","100","67.310","67.990","67.990","67.216","2.12","0.00%","1.14","5.157","0.06","-0.06","-0.01%","-1.17%","0.00%","1.47%","17.63%","3.76%","18.19%","-0.25%","Utilities - Regulated Electric"
"35","KEP","Korea Electric Power","7.130","-0.120","-1.66%","98806","704610","9154407738.02","7.130","6.600","7.640","100","100","7.180","7.250","7.189","7.090","1.04","0.00%","1.37","-0.495","0.02","-0.14","0.06%","-2.33%","-1.93%","-3.52%","11.23%","-8.82%","-8.12%","-1.66%","Utilities - Regulated Electric"
"36","CEPU","Central Puerto","8.880","-0.220","-2.42%","323363","2870715","1335325151.52","8.880","8.510","9.170","2000","100","9.060","9.100","9.100","8.760","1.09","90.48%","3.74","16.723","0.33","0.02","0.40%","0.88%","0.29%","19.48%","65.20%","36.55%","62.34%","-2.42%","Utilities - Regulated Electric"
"37","PNM","PNM Resources","39.110","-2.490","-5.99%","11257461","439590197","3357001922.14","39.110","39.150","39.430","600","200","38.640","41.600","39.350","38.530","15.40","50.00%","1.97","19.852","13.27","0.08","-0.01%","-6.99%","-8.98%","-7.43%","-9.69%","-12.98%","-17.61%","-5.99%","Utilities - Regulated Electric"
