"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","METC","Ramaco Resources","17.630","+0.450","2.62%","718674","12520904","928854091.85","17.630","17.630","17.800","500","2500","17.160","17.180","17.760","17.020","0.61","-66.67%","4.31","6.780","2.29","0.08","0.34%","-0.84%","16.68%","0.80%","79.71%","107.43%","169.42%","2.62%","Coking Coal"
"2","ARCH","Arch Resources","167.900","+1.960","1.18%","204694","34282580","3084232334","167.900","167.280","168.400","100","100","166.740","165.940","168.680","166.045","1.10","0.00%","1.59","2.628","1.15","0.22","0.32%","0.51%","6.33%","-2.81%","11.61%","53.96%","35.80%","1.18%","Coking Coal"
"3","AMR","Alpha Metallurgical","341.240","+2.320","0.68%","126008","42673999","4532893616.56","341.240","340.050","342.190","100","100","335.000","338.920","343.770","333.550","0.81","0.00%","3.02","4.292","1.08","-0.18","0.44%","0.40%","8.02%","16.27%","40.70%","117.49%","150.99%","0.68%","Oil & Gas E&P"
"4","SXC","SunCoke Energy","10.760","+0.020","0.19%","637061","6844554","901216894.92","10.760","10.380","11.010","100","100","10.680","10.740","10.850","10.590","1.60","0.00%","2.42","9.042","0.77","-0.09","0.09%","-1.28%","9.02%","13.74%","14.46%","33.72%","32.78%","0.19%","Coking Coal"
"5","HCC","Warrior Met Coal","60.910","-0.060","-0.10%","304261","18462796","3168472599.93","60.910","60.540","61.240","100","100","60.610","60.970","61.580","59.880","0.90","0.00%","2.79","4.912","0.59","0.10","0.29%","-1.44%","7.31%","4.37%","22.83%","54.16%","95.71%","-0.10%","Coking Coal"
"6","METCB","Ramaco Resources","13.030","-0.280","-2.10%","64781","845927","686498514.85","13.030","12.900","13.120","200","1800","13.049","13.310","13.400","12.800","0.99","-80.00%","4.51","5.011","0.21","0.31","0.23%","-5.31%","4.16%","-19.96%","18.60%","11.51%","34.37%","-2.10%","Coking Coal"
