"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"1","APD","Air Products & Chemicals","273.470","-0.330","-0.12%","1109171","303428410","60772720421.29","273.470","266.250","275.000","100","100","272.330","273.800","274.870","272.330","1.60","0.00%","0.93","26.473","0.50","0.00","0.05%","0.88%","1.61%","0.95%","-1.65%","-5.89%","-8.56%","-0.12%","Specialty Chemicals"
"2","BE","Bloom Energy","14.760","-0.040","-0.27%","3145858","46968911","3306959830.44","14.760","14.580","14.780","100","100","14.500","14.800","15.268","14.390","1.16","0.00%","5.93","-9.111","1.61","-0.17","0.17%","-0.81%","3.94%","-4.03%","37.43%","-16.09%","-23.08%","-0.27%","Electrical Equipment & Parts"
"3","LIN","Linde","409.580","-1.130","-0.28%","1571892","642652009","198601445255.88","409.580","406.100","412.690","100","200","409.780","410.710","411.730","406.700","1.92","-33.33%","1.22","49.766","0.32","0.02","0.18%","-0.28%","0.54%","-0.51%","11.08%","10.04%","29.95%","-0.28%","Specialty Chemicals"
